,Loyalty_Program_Status,Gender,CustomerSatisfaction,Installment_Number,Total_Installments,Installment_Amount,Principal_Amount,Interest_Amount,Amount_Due,Currency,Payment_Method,Order Status,Delay_Days,Repayment_Status,Total_Loans,Segment,Quantity,Unit Price,Total Amount,Discount Applied (%),Tax (%),Payment_Mode,Month Order Count,Avg Qantity,Cancelled Order Per Customer,Order Channel,ProductCategory,ProductBrand,ProductCategory2,Cost Price,Discount (%),PurchaseFrequency,Stock Status,Product Status,Customers_Location,Customer_Duration,Age_Group,installment_to_principal_ratio,interest_to_amount_due_ratio,remaining_installments,amount_per_unit,loans_per_purchase_cycle
0,Bronze,MALE,1,2,6,42.98,251.06,6.8,42.98,NGN,Debit Card,Delivered,0,On-Time,1,SME,9,968,8713,5,8,Debit Card,1,9,0,Online,Smartphones,Other Brands,Smartphones,112,5,2,In Stock,Archived,"Parma, Ohio",Old Customer,Young,0.1711941368597148,0.15821312238250348,4,968.1111111111111,0.5
1,Platinum,FEMALE,2,2,3,1539.75,4482.34,136.91,1539.75,NGN,Bank Transfer,Cancelled,0,On-Time,1,SME,7,561,3924,0,10,PayPal,1,7,1,Online,Smart Watches,Samsung,Smart Watches,182,20,7,In Stock,Inactive,"San Francisco, California",New Customer,Middle age,0.3435147713024893,0.08891703198571196,1,560.5714285714286,0.14285714285714285
2,Bronze,MALE,5,1,6,409.22,2412.55,42.78,409.22,NGN,Auto-Debit,Pending,69,Late,1,Corporate,3,552,1656,5,8,Credit Card,1,3,0,Online,Tablets,Samsung,Tablets,1537,0,1,In Stock,Inactive,"San Francisco, California",New Customer,Old,0.16962135499782388,0.10454034504667416,5,552.0,1.0
3,Platinum,FEMALE,3,5,12,61.01,711.63,20.49,61.01,NGN,Bank Transfer,Shipped,64,Late,1,Retail,8,237,1898,15,0,Cash,1,8,0,Offline,Smartphones,Samsung,Smartphones,149,0,10,In Stock,Inactive,"Lawrence, Indiana",New Customer,Old,0.08573275438078777,0.3358465825274545,7,237.25,0.1
4,Silver,MALE,3,2,3,122.06,351.9,14.28,122.06,USD,Auto-Debit,Returned,0,On-Time,1,Corporate,6,403,2416,0,8,Credit Card,1,6,0,Online,Tablets,Sony,Tablets,23,10,17,In Stock,Active,"Huntsville, Texas",New Customer,Middle age,0.3468599033816425,0.116991643454039,1,402.6666666666667,0.058823529411764705
5,Silver,FEMALE,1,8,9,325.43,2812.34,116.55,325.43,EUR,Bank Transfer,Shipped,0,On-Time,1,SME,10,356,3560,5,8,Debit Card,1,10,0,Online,Smartphones,Samsung,Smartphones,741,5,8,In Stock,Inactive,"Philadelphia, Pennsylvania",Old Customer,Middle age,0.11571502734377778,0.3581415358141536,1,356.0,0.125
6,Bronze,FEMALE,5,2,6,848.05,4911.97,176.35,848.05,NGN,Wallet,Delivered,0,On-Time,1,SME,8,527,4219,5,10,Credit Card,1,8,0,Online,Smartphones,Samsung,Smartphones,30,15,5,In Stock,Archived,"Houston, Texas",Old Customer,Young,0.1726496700916333,0.2079476445964271,4,527.375,0.2
7,Bronze,MALE,5,7,12,96.03,1132.35,19.96,96.03,EUR,Auto-Debit,Delivered,0,On-Time,1,Corporate,9,506,4551,0,0,Cash,1,9,0,Offline,Smartphones,HP,Smartphones,919,15,12,Out of Stock,Active,"Philadelphia, Pennsylvania",New Customer,Middle age,0.084805934560869,0.2078517130063522,5,505.6666666666667,0.08333333333333333
8,Platinum,FEMALE,4,8,9,81.38,681.46,18.54,81.38,NGN,Bank Transfer,Pending,11,On-Time,1,Corporate,9,783,7046,5,8,Credit Card,1,9,0,Online,Laptops,Other Brands,Laptops,307,15,3,In Stock,Archived,"New York City, New York",Old Customer,Young,0.11942006867607782,0.22782010321946425,1,782.8888888888889,0.3333333333333333
9,Platinum,FEMALE,4,2,9,398.88,3444.44,145.44,398.88,EUR,Auto-Debit,Cancelled,0,On-Time,1,Retail,10,255,2555,0,5,PayPal,1,10,1,Online,Laptops,HP,Laptops,284,5,8,In Stock,Archived,"Great Falls, Montana",New Customer,Old,0.11580402039228438,0.36462093862815886,7,255.5,0.125
